Iter 0079360  Loss: 0.007646
Iter 0079380  Loss: 0.007868
Iter 0079400  Loss: 0.007793
Iter 0079420  Loss: 0.007976
Iter 0079440  Loss: 0.008165
Iter 0079460  Loss: 0.007868
Iter 0079480  Loss: 0.008097
Iter 0079500  Loss: 0.007416
Iter 0079520  Loss: 0.007578
Iter 0079540  Loss: 0.007591
Iter 0079560  Loss: 0.008212
Iter 0079580  Loss: 0.007869
Iter 0079600  Loss: 0.008102
Iter 0079620  Loss: 0.007643
Iter 0079640  Loss: 0.008090
Iter 0079660  Loss: 0.008037
Iter 0079680  Loss: 0.008032
Iter 0079700  Loss: 0.007948
Iter 0079720  Loss: 0.007906
Iter 0079740  Loss: 0.007312
Iter 0079760  Loss: 0.007678
Iter 0079780  Loss: 0.007142
Iter 0079800  Loss: 0.007844
Iter 0079820  Loss: 0.007868
Iter 0079840  Loss: 0.007528
Iter 0079860  Loss: 0.007737
Iter 0079880  Loss: 0.008070
Iter 0079900  Loss: 0.008593
Iter 0079920  Loss: 0.007557
Iter 0079940  Loss: 0.008726
Iter 0079960  Loss: 0.007960
Iter 0079980  Loss: 0.008418
Iter 0080000  Loss: 0.007727
Iter 0080020  Loss: 0.008437
Iter 0080040  Loss: 0.008023
Iter 0080060  Loss: 0.008232
Iter 0080080  Loss: 0.007975
Iter 0080100  Loss: 0.007764
Iter 0080120  Loss: 0.008321
Iter 0080140  Loss: 0.007918
Iter 0080160  Loss: 0.007236
Iter 0080180  Loss: 0.007807
Iter 0080200  Loss: 0.007511
Iter 0080220  Loss: 0.007944
Iter 0080240  Loss: 0.007673
Iter 0080260  Loss: 0.008522
Iter 0080280  Loss: 0.007518
Iter 0080300  Loss: 0.008014
Iter 0080320  Loss: 0.007897
Iter 0080340  Loss: 0.008467
Iter 0080360  Loss: 0.008366
Iter 0080380  Loss: 0.007474
Iter 0080400  Loss: 0.007282
Iter 0080420  Loss: 0.007921
Iter 0080440  Loss: 0.008207
Iter 0080460  Loss: 0.007672
Iter 0080480  Loss: 0.007987
Iter 0080500  Loss: 0.007947
Iter 0080520  Loss: 0.008078
Iter 0080540  Loss: 0.007681
Iter 0080560  Loss: 0.007826
Iter 0080580  Loss: 0.007891
Iter 0080600  Loss: 0.008325
Iter 0080620  Loss: 0.007748
Iter 0080640  Loss: 0.007963
Iter 0080660  Loss: 0.008430
Iter 0080680  Loss: 0.007512
Iter 0080700  Loss: 0.007986
Iter 0080720  Loss: 0.007594
Iter 0080740  Loss: 0.007228
Iter 0080760  Loss: 0.007276
Iter 0080780  Loss: 0.007739
Iter 0080800  Loss: 0.008111
Iter 0080820  Loss: 0.007551
Iter 0080840  Loss: 0.007432
Iter 0080860  Loss: 0.007154
Iter 0080880  Loss: 0.007627
Iter 0080900  Loss: 0.007651
Iter 0080920  Loss: 0.007757
Iter 0080940  Loss: 0.008086
Iter 0080960  Loss: 0.007910
Iter 0080980  Loss: 0.007455
Iter 0081000  Loss: 0.007677
